지진ID,구분,구분명,전송시각,진원시,위도 (단위:`N),경도 (단위:`E),규모 (리히터 기준),진앙지,등록일자,깊이 (단위:KM)
2.02E+11,3,국외지진,2.02E+11,2.02E+13,23.48,121.5,5.3,대만 화롄 남쪽 53km 해역,2022-10-03 6:04,24
2.02E+11,1,지진정보,2.02E+11,2.02E+13,36.94,127.13,2.7,충남 천안시 서북구 북북서쪽 7km 지역,2022-10-01 4:42,14
2.02E+11,3,국외지진,2.02E+11,2.02E+13,-60.6,-20,6.7,남대서양 사우스 샌드위치 제도 해역,2022-09-29 12:21,33
2.02E+11,3,국외지진,2.02E+11,2.02E+13,-41.38,-75.58,6.1,칠레 푸에르토몬트 서쪽 220km 해역,2022-09-24 8:13,10
2.02E+11,3,국외지진,2.02E+11,2.02E+13,3.81,95.99,6.2,인도네시아 반다아체 남남동쪽 206km 해역,2022-09-24 6:20,49
2.02E+11,1,지진정보,2.02E+11,2.02E+13,35.69,124.59,2.3,충남 태안군 서격렬비도 남서쪽 134km 해역,2022-09-24 0:00,
2.02E+11,3,국외지진,2.02E+11,2.02E+13,55.53,166.34,6,러시아 캄차카반도 클류치 동남동쪽 353km 해역,2022-09-22 0:00,10
2.02E+11,3,국외지진,2.02E+11,2.02E+13,35.4,131,4.6,울산 동구 동쪽 144km 해역,2022-09-19 21:01,10
2.02E+11,3,국외지진,2.02E+11,2.02E+13,23.43,121.32,5.9,대만 화롄 남남서쪽 63km 지역,2022-09-19 11:17,13
2.02E+11,3,국외지진,2.02E+11,2.02E+13,26.4,125.9,5.5,일본 오키나와현 오키나와 서쪽 179km 해역,2022-09-18 19:14,10
2.02E+11,3,국외지진,2.02E+11,2.02E+13,23.27,121.29,5.8,대만 화롄 남남서쪽 80km 지역,2022-09-18 18:55,10
2.02E+11,3,국외지진,2.02E+11,2.02E+13,23.11,121.18,5.5,대만 화롄 남남서쪽 101km 지역,2022-09-18 18:00,13
2.02E+11,3,국외지진,2.02E+11,2.02E+13,26.3,125.9,6.1,일본 오키나와현 오키나와 서쪽 178km 해역,2022-09-18 17:22,
